Driver,LapNumber,LapTime,Stint,Compound,TyreLife,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST
HAM,60.0,0 days 00:01:15.767000,3.0,MEDIUM,7.0,,,0 days 00:00:19.808000,0 days 00:00:35.796000,0 days 00:00:20.163000,204.0,195.0,257.0,278.0
HAM,61.0,0 days 00:01:15.431000,3.0,MEDIUM,8.0,,,0 days 00:00:19.785000,0 days 00:00:35.611000,0 days 00:00:20.035000,203.0,197.0,259.0,276.0
HAM,62.0,0 days 00:01:14.916000,3.0,MEDIUM,9.0,,,0 days 00:00:19.741000,0 days 00:00:35.469000,0 days 00:00:19.706000,204.0,197.0,260.0,276.0
HAM,63.0,0 days 00:01:14.193000,3.0,MEDIUM,10.0,,,0 days 00:00:19.356000,0 days 00:00:35.230000,0 days 00:00:19.607000,207.0,199.0,260.0,281.0
HAM,64.0,0 days 00:01:16.306000,3.0,MEDIUM,11.0,,,0 days 00:00:19.910000,0 days 00:00:36.092000,0 days 00:00:20.304000,199.0,193.0,261.0,280.0
HAM,65.0,0 days 00:01:16.238000,3.0,MEDIUM,12.0,,,0 days 00:00:19.955000,0 days 00:00:36.087000,0 days 00:00:20.196000,200.0,194.0,262.0,284.0
HAM,66.0,0 days 00:01:16.659000,3.0,MEDIUM,13.0,,,0 days 00:00:20.336000,0 days 00:00:36.083000,0 days 00:00:20.240000,201.0,194.0,259.0,282.0
HAM,67.0,0 days 00:01:16.016000,3.0,MEDIUM,14.0,,,0 days 00:00:19.962000,0 days 00:00:35.918000,0 days 00:00:20.136000,198.0,195.0,261.0,276.0
HAM,68.0,0 days 00:01:15.861000,3.0,MEDIUM,15.0,,,0 days 00:00:19.845000,0 days 00:00:35.721000,0 days 00:00:20.295000,200.0,194.0,262.0,278.0
HAM,69.0,0 days 00:01:15.585000,3.0,MEDIUM,16.0,,,0 days 00:00:19.902000,0 days 00:00:35.738000,0 days 00:00:19.945000,201.0,196.0,261.0,278.0
HAM,70.0,0 days 00:01:15.257000,3.0,MEDIUM,17.0,,,0 days 00:00:19.713000,0 days 00:00:35.619000,0 days 00:00:19.925000,206.0,197.0,261.0,278.0
HAM,71.0,0 days 00:01:15.088000,3.0,MEDIUM,18.0,,,0 days 00:00:19.603000,0 days 00:00:35.686000,0 days 00:00:19.799000,,197.0,259.0,275.0
HAM,72.0,0 days 00:01:14.273000,3.0,MEDIUM,19.0,,,0 days 00:00:19.468000,0 days 00:00:35.182000,0 days 00:00:19.623000,209.0,199.0,260.0,278.0
HAM,73.0,0 days 00:01:14.090000,3.0,MEDIUM,20.0,,,0 days 00:00:19.375000,0 days 00:00:35.138000,0 days 00:00:19.577000,208.0,199.0,260.0,277.0
HAM,74.0,0 days 00:01:15.388000,3.0,MEDIUM,21.0,,,0 days 00:00:19.942000,0 days 00:00:35.506000,0 days 00:00:19.940000,203.0,196.0,259.0,276.0
HAM,75.0,0 days 00:01:16.317000,3.0,MEDIUM,22.0,,,0 days 00:00:20.032000,0 days 00:00:36.072000,0 days 00:00:20.213000,201.0,195.0,258.0,276.0
HAM,76.0,0 days 00:01:16.537000,3.0,MEDIUM,23.0,,,0 days 00:00:20.237000,0 days 00:00:35.895000,0 days 00:00:20.405000,204.0,191.0,258.0,275.0
HAM,77.0,0 days 00:01:16.522000,3.0,MEDIUM,24.0,,,0 days 00:00:20.474000,0 days 00:00:35.824000,0 days 00:00:20.224000,199.0,195.0,258.0,275.0
HAM,78.0,0 days 00:01:17.439000,3.0,MEDIUM,25.0,,,0 days 00:00:20.498000,0 days 00:00:36.035000,0 days 00:00:20.906000,198.0,194.0,228.0,274.0
