Driver,LapNumber,LapTime,Stint,Compound,TyreLife,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST
LEC,17.0,0 days 00:01:33.809000,1.0,MEDIUM,17.0,,,0 days 00:00:33.083000,0 days 00:00:42.556000,0 days 00:00:18.170000,280.0,300.0,264.0,296.0
LEC,18.0,0 days 00:01:33.648000,1.0,MEDIUM,18.0,,,0 days 00:00:32.959000,0 days 00:00:42.491000,0 days 00:00:18.198000,279.0,300.0,264.0,295.0
LEC,19.0,0 days 00:01:33.545000,1.0,MEDIUM,19.0,,,0 days 00:00:32.904000,0 days 00:00:42.496000,0 days 00:00:18.145000,280.0,300.0,264.0,298.0
LEC,20.0,0 days 00:01:33.628000,1.0,MEDIUM,20.0,,,0 days 00:00:33.011000,0 days 00:00:42.433000,0 days 00:00:18.184000,279.0,300.0,265.0,297.0
LEC,21.0,0 days 00:01:35.423000,1.0,MEDIUM,21.0,,0 days 01:29:00.325000,0 days 00:00:32.688000,0 days 00:00:42.456000,0 days 00:00:20.279000,281.0,299.0,,297.0
LEC,22.0,0 days 00:01:53.611000,2.0,HARD,1.0,0 days 01:29:23.559000,,0 days 00:00:54.102000,0 days 00:00:41.743000,0 days 00:00:17.766000,277.0,303.0,268.0,303.0
LEC,23.0,0 days 00:01:33.950000,2.0,HARD,2.0,,,0 days 00:00:33.670000,0 days 00:00:42.004000,0 days 00:00:18.276000,279.0,309.0,275.0,295.0
LEC,24.0,0 days 00:01:33.124000,2.0,HARD,3.0,,,0 days 00:00:33.033000,0 days 00:00:41.996000,0 days 00:00:18.095000,275.0,301.0,266.0,294.0
LEC,25.0,0 days 00:01:32.679000,2.0,HARD,4.0,,,0 days 00:00:32.837000,0 days 00:00:41.842000,0 days 00:00:18,279.0,299.0,266.0,295.0
LEC,26.0,0 days 00:01:32.503000,2.0,HARD,5.0,,,0 days 00:00:32.615000,0 days 00:00:41.797000,0 days 00:00:18.091000,280.0,300.0,266.0,297.0
LEC,27.0,0 days 00:01:32.539000,2.0,HARD,6.0,,,0 days 00:00:32.763000,0 days 00:00:41.776000,0 days 00:00:18,279.0,300.0,266.0,296.0
LEC,28.0,0 days 00:01:32.300000,2.0,HARD,7.0,,,0 days 00:00:32.578000,0 days 00:00:41.708000,0 days 00:00:18.014000,280.0,300.0,267.0,295.0
LEC,29.0,0 days 00:01:32.312000,2.0,HARD,8.0,,,0 days 00:00:32.480000,0 days 00:00:41.777000,0 days 00:00:18.055000,,300.0,266.0,296.0
LEC,30.0,0 days 00:01:32.063000,2.0,HARD,9.0,,,0 days 00:00:32.398000,0 days 00:00:41.749000,0 days 00:00:17.916000,282.0,300.0,267.0,297.0
