Driver,LapNumber,LapTime,Stint,Compound,TyreLife,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST
HAM,17.0,,2.0,INTERMEDIATE,6.0,,,0 days 00:00:51.561000,0 days 00:01:05.903000,0 days 00:00:55.830000,,146.0,176.0,77.0
HAM,18.0,0 days 00:02:04.321000,2.0,INTERMEDIATE,7.0,,,0 days 00:00:37.250000,0 days 00:00:47.282000,0 days 00:00:39.789000,280.0,239.0,172.0,96.0
HAM,19.0,,2.0,INTERMEDIATE,8.0,,,0 days 00:00:43.971000,0 days 00:01:06.770000,0 days 00:00:45.854000,197.0,101.0,114.0,182.0
HAM,20.0,,2.0,INTERMEDIATE,9.0,,,0 days 00:00:49.096000,0 days 00:01:08.120000,0 days 00:00:46.007000,230.0,107.0,73.0,187.0
HAM,21.0,,2.0,INTERMEDIATE,10.0,,,0 days 00:00:50.646000,0 days 00:01:03.662000,0 days 00:00:43.866000,240.0,78.0,204.0,85.0
HAM,22.0,0 days 00:01:50.026000,2.0,INTERMEDIATE,11.0,,,0 days 00:00:35.413000,0 days 00:00:45.486000,0 days 00:00:29.127000,285.0,242.0,213.0,298.0
HAM,23.0,0 days 00:01:45.518000,2.0,INTERMEDIATE,12.0,,,0 days 00:00:33.136000,0 days 00:00:43.544000,0 days 00:00:28.838000,291.0,246.0,215.0,301.0
HAM,24.0,0 days 00:01:45.853000,2.0,INTERMEDIATE,13.0,,,0 days 00:00:32.664000,0 days 00:00:44.641000,0 days 00:00:28.548000,292.0,242.0,220.0,297.0
HAM,25.0,0 days 00:01:43.720000,2.0,INTERMEDIATE,14.0,,,0 days 00:00:32.092000,0 days 00:00:43.236000,0 days 00:00:28.392000,297.0,244.0,218.0,308.0
HAM,26.0,0 days 00:01:43.735000,2.0,INTERMEDIATE,15.0,,,0 days 00:00:32.320000,0 days 00:00:43.057000,0 days 00:00:28.358000,296.0,247.0,221.0,312.0
HAM,27.0,0 days 00:01:42.922000,2.0,INTERMEDIATE,16.0,,,0 days 00:00:31.885000,0 days 00:00:42.601000,0 days 00:00:28.436000,294.0,245.0,220.0,312.0
HAM,28.0,0 days 00:01:43.668000,2.0,INTERMEDIATE,17.0,,,0 days 00:00:31.925000,0 days 00:00:42.851000,0 days 00:00:28.892000,299.0,246.0,221.0,312.0
HAM,29.0,0 days 00:01:43.851000,2.0,INTERMEDIATE,18.0,,,0 days 00:00:32.204000,0 days 00:00:43.082000,0 days 00:00:28.565000,294.0,245.0,220.0,304.0
HAM,30.0,0 days 00:01:43.570000,2.0,INTERMEDIATE,19.0,,,0 days 00:00:32.208000,0 days 00:00:42.719000,0 days 00:00:28.643000,290.0,237.0,221.0,297.0
HAM,31.0,0 days 00:01:43.590000,2.0,INTERMEDIATE,20.0,,,0 days 00:00:32.197000,0 days 00:00:42.802000,0 days 00:00:28.591000,292.0,243.0,227.0,301.0
HAM,32.0,0 days 00:01:43.029000,2.0,INTERMEDIATE,21.0,,,0 days 00:00:32.154000,0 days 00:00:42.291000,0 days 00:00:28.584000,294.0,241.0,226.0,302.0
HAM,33.0,0 days 00:01:42.567000,2.0,INTERMEDIATE,22.0,,,0 days 00:00:32.049000,0 days 00:00:42.267000,0 days 00:00:28.251000,292.0,243.0,228.0,302.0
HAM,34.0,0 days 00:01:43.044000,2.0,INTERMEDIATE,23.0,,,0 days 00:00:31.879000,0 days 00:00:42.677000,0 days 00:00:28.488000,293.0,243.0,219.0,322.0
HAM,35.0,0 days 00:01:41.444000,2.0,INTERMEDIATE,24.0,,,0 days 00:00:32.229000,0 days 00:00:41.588000,0 days 00:00:27.627000,303.0,242.0,231.0,302.0
HAM,36.0,0 days 00:01:41.354000,2.0,INTERMEDIATE,25.0,,,0 days 00:00:31.633000,0 days 00:00:41.726000,0 days 00:00:27.995000,294.0,242.0,230.0,318.0
HAM,37.0,0 days 00:01:40.507000,2.0,INTERMEDIATE,26.0,,,0 days 00:00:31.667000,0 days 00:00:41.518000,0 days 00:00:27.322000,291.0,245.0,234.0,319.0
HAM,38.0,0 days 00:01:41.149000,2.0,INTERMEDIATE,27.0,,,0 days 00:00:31.612000,0 days 00:00:42.056000,0 days 00:00:27.481000,310.0,242.0,234.0,323.0
HAM,39.0,0 days 00:01:40.836000,2.0,INTERMEDIATE,28.0,,,0 days 00:00:31.647000,0 days 00:00:41.690000,0 days 00:00:27.499000,307.0,244.0,232.0,307.0
HAM,40.0,0 days 00:01:40.697000,2.0,INTERMEDIATE,29.0,,,0 days 00:00:31.709000,0 days 00:00:41.498000,0 days 00:00:27.490000,293.0,243.0,232.0,305.0
HAM,41.0,0 days 00:01:39.553000,2.0,INTERMEDIATE,30.0,,0 days 02:16:24.964000,0 days 00:00:31.768000,0 days 00:00:41.583000,0 days 00:00:26.202000,294.0,234.0,,308.0
HAM,42.0,0 days 00:02:09.772000,3.0,SOFT,4.0,0 days 02:16:54.162000,,0 days 00:00:58.575000,0 days 00:00:43.289000,0 days 00:00:27.908000,283.0,226.0,232.0,301.0
HAM,43.0,0 days 00:01:36.929000,3.0,SOFT,5.0,,,0 days 00:00:31.696000,0 days 00:00:39.455000,0 days 00:00:25.778000,294.0,253.0,247.0,310.0
HAM,44.0,0 days 00:01:34.874000,3.0,SOFT,6.0,,,0 days 00:00:31.069000,0 days 00:00:38.644000,0 days 00:00:25.161000,,254.0,250.0,309.0
HAM,45.0,0 days 00:01:33.938000,3.0,SOFT,7.0,,,0 days 00:00:30.560000,0 days 00:00:38.220000,0 days 00:00:25.158000,292.0,259.0,249.0,307.0
HAM,46.0,0 days 00:01:31.328000,3.0,SOFT,8.0,,,0 days 00:00:29.560000,0 days 00:00:37.279000,0 days 00:00:24.489000,294.0,262.0,251.0,311.0
HAM,47.0,0 days 00:01:33.108000,3.0,SOFT,9.0,,,0 days 00:00:29.075000,0 days 00:00:38.708000,0 days 00:00:25.325000,,244.0,250.0,306.0
HAM,48.0,0 days 00:01:30.785000,3.0,SOFT,10.0,,,0 days 00:00:29.155000,0 days 00:00:37.105000,0 days 00:00:24.525000,297.0,261.0,251.0,313.0
HAM,49.0,0 days 00:01:30.016000,3.0,SOFT,11.0,,,0 days 00:00:28.909000,0 days 00:00:36.740000,0 days 00:00:24.367000,296.0,262.0,251.0,311.0
HAM,50.0,0 days 00:01:30.775000,3.0,SOFT,12.0,,,0 days 00:00:29.002000,0 days 00:00:37.106000,0 days 00:00:24.667000,,260.0,251.0,310.0
HAM,51.0,0 days 00:01:30.664000,3.0,SOFT,13.0,,,0 days 00:00:29.140000,0 days 00:00:37.015000,0 days 00:00:24.509000,295.0,261.0,250.0,311.0
HAM,52.0,0 days 00:01:31.662000,3.0,SOFT,14.0,,,0 days 00:00:29.278000,0 days 00:00:37.354000,0 days 00:00:25.030000,296.0,260.0,240.0,312.0
