Driver,LapNumber,LapTime,Stint,Compound,TyreLife,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST
LEC,13.0,0 days 00:01:21.117000,2.0,HARD,3.0,,,0 days 00:00:25.891000,0 days 00:00:28.109000,0 days 00:00:27.117000,216.0,253.0,274.0,286.0
LEC,14.0,0 days 00:01:21.056000,2.0,HARD,4.0,,,0 days 00:00:25.880000,0 days 00:00:28.181000,0 days 00:00:26.995000,220.0,255.0,274.0,293.0
LEC,15.0,0 days 00:01:21.056000,2.0,HARD,5.0,,,0 days 00:00:25.675000,0 days 00:00:28.325000,0 days 00:00:27.056000,219.0,256.0,274.0,293.0
LEC,16.0,0 days 00:01:20.958000,2.0,HARD,6.0,,,0 days 00:00:25.618000,0 days 00:00:28.334000,0 days 00:00:27.006000,,254.0,275.0,291.0
LEC,17.0,0 days 00:01:20.721000,2.0,HARD,7.0,,,0 days 00:00:25.419000,0 days 00:00:28.235000,0 days 00:00:27.067000,,256.0,276.0,291.0
LEC,18.0,0 days 00:01:21.498000,2.0,HARD,8.0,,,0 days 00:00:25.657000,0 days 00:00:28.604000,0 days 00:00:27.237000,216.0,254.0,276.0,291.0
LEC,19.0,0 days 00:01:21.351000,2.0,HARD,9.0,,,0 days 00:00:25.541000,0 days 00:00:28.525000,0 days 00:00:27.285000,218.0,255.0,283.0,295.0
LEC,20.0,0 days 00:01:23.289000,2.0,HARD,10.0,,,0 days 00:00:26.265000,0 days 00:00:29.209000,0 days 00:00:27.815000,213.0,254.0,280.0,293.0
LEC,21.0,0 days 00:01:21.802000,2.0,HARD,11.0,,,0 days 00:00:25.368000,0 days 00:00:28.883000,0 days 00:00:27.551000,215.0,253.0,281.0,292.0
LEC,22.0,0 days 00:01:22.724000,2.0,HARD,12.0,,,0 days 00:00:25.820000,0 days 00:00:29.257000,0 days 00:00:27.647000,212.0,254.0,282.0,294.0
LEC,23.0,0 days 00:01:20.876000,2.0,HARD,13.0,,,0 days 00:00:25.539000,0 days 00:00:28.299000,0 days 00:00:27.038000,217.0,253.0,276.0,288.0
LEC,24.0,0 days 00:01:21.154000,2.0,HARD,14.0,,,0 days 00:00:25.700000,0 days 00:00:28.308000,0 days 00:00:27.146000,214.0,253.0,277.0,291.0
LEC,25.0,0 days 00:01:21.808000,2.0,HARD,15.0,,,0 days 00:00:25.840000,0 days 00:00:28.621000,0 days 00:00:27.347000,,253.0,278.0,292.0
LEC,26.0,0 days 00:01:22.166000,2.0,HARD,16.0,,,0 days 00:00:25.755000,0 days 00:00:28.802000,0 days 00:00:27.609000,215.0,254.0,281.0,290.0
LEC,27.0,0 days 00:01:20.680000,2.0,HARD,17.0,,,0 days 00:00:25.123000,0 days 00:00:28.526000,0 days 00:00:27.031000,,252.0,277.0,287.0
LEC,28.0,0 days 00:01:21.157000,2.0,HARD,18.0,,,0 days 00:00:25.585000,0 days 00:00:28.433000,0 days 00:00:27.139000,216.0,254.0,275.0,289.0
LEC,29.0,0 days 00:01:46.742000,2.0,HARD,19.0,,0 days 01:36:18.242000,0 days 00:00:25.675000,0 days 00:00:41.104000,0 days 00:00:39.963000,215.0,197.0,,165.0
LEC,30.0,0 days 00:02:15.401000,3.0,HARD,1.0,0 days 01:36:50.216000,,0 days 00:00:59.399000,0 days 00:00:40.956000,0 days 00:00:35.046000,154.0,230.0,276.0,181.0
LEC,31.0,0 days 00:01:22.731000,3.0,HARD,2.0,,,0 days 00:00:26.612000,0 days 00:00:28.765000,0 days 00:00:27.354000,216.0,257.0,283.0,293.0
LEC,32.0,0 days 00:01:20.010000,3.0,HARD,3.0,,,0 days 00:00:25.199000,0 days 00:00:28.225000,0 days 00:00:26.586000,219.0,257.0,281.0,292.0
LEC,33.0,0 days 00:01:20.393000,3.0,HARD,4.0,,,0 days 00:00:25.545000,0 days 00:00:28.088000,0 days 00:00:26.760000,218.0,255.0,276.0,287.0
LEC,34.0,0 days 00:01:19.953000,3.0,HARD,5.0,,,0 days 00:00:25.309000,0 days 00:00:27.938000,0 days 00:00:26.706000,219.0,257.0,277.0,290.0
LEC,35.0,0 days 00:01:19.816000,3.0,HARD,6.0,,,0 days 00:00:25.397000,0 days 00:00:27.797000,0 days 00:00:26.622000,220.0,258.0,278.0,293.0
LEC,36.0,0 days 00:01:20.133000,3.0,HARD,7.0,,,0 days 00:00:25.516000,0 days 00:00:27.984000,0 days 00:00:26.633000,219.0,257.0,282.0,297.0
LEC,37.0,0 days 00:01:20.825000,3.0,HARD,8.0,,,0 days 00:00:25.524000,0 days 00:00:28.447000,0 days 00:00:26.854000,214.0,257.0,284.0,294.0
LEC,38.0,0 days 00:01:19.848000,3.0,HARD,9.0,,,0 days 00:00:24.828000,0 days 00:00:28.263000,0 days 00:00:26.757000,219.0,254.0,280.0,289.0
LEC,39.0,0 days 00:01:20.503000,3.0,HARD,10.0,,,0 days 00:00:25.529000,0 days 00:00:28.173000,0 days 00:00:26.801000,220.0,257.0,283.0,291.0
LEC,40.0,0 days 00:01:20.524000,3.0,HARD,11.0,,,0 days 00:00:25.353000,0 days 00:00:28.340000,0 days 00:00:26.831000,215.0,256.0,282.0,290.0
LEC,41.0,0 days 00:01:19.703000,3.0,HARD,12.0,,,0 days 00:00:24.893000,0 days 00:00:28.044000,0 days 00:00:26.766000,217.0,253.0,278.0,289.0
LEC,42.0,0 days 00:01:19.710000,3.0,HARD,13.0,,,0 days 00:00:25.206000,0 days 00:00:27.955000,0 days 00:00:26.549000,218.0,257.0,279.0,290.0
LEC,43.0,0 days 00:01:19.955000,3.0,HARD,14.0,,,0 days 00:00:25.292000,0 days 00:00:27.950000,0 days 00:00:26.713000,217.0,259.0,279.0,292.0
LEC,44.0,0 days 00:01:19.875000,3.0,HARD,15.0,,,0 days 00:00:25.147000,0 days 00:00:27.922000,0 days 00:00:26.806000,221.0,258.0,277.0,291.0
LEC,45.0,0 days 00:01:20.102000,3.0,HARD,16.0,,,0 days 00:00:25.252000,0 days 00:00:28.002000,0 days 00:00:26.848000,220.0,258.0,277.0,292.0
LEC,46.0,0 days 00:01:48.428000,3.0,HARD,17.0,,,0 days 00:00:34.427000,0 days 00:00:37.500000,0 days 00:00:36.501000,154.0,197.0,188.0,200.0
LEC,47.0,0 days 00:01:53.009000,3.0,HARD,18.0,,,0 days 00:00:37.412000,0 days 00:00:38.458000,0 days 00:00:37.139000,153.0,162.0,231.0,178.0
LEC,48.0,0 days 00:01:43.267000,3.0,HARD,19.0,,,0 days 00:00:30.228000,0 days 00:00:35.773000,0 days 00:00:37.266000,196.0,234.0,187.0,258.0
LEC,49.0,0 days 00:02:03.837000,3.0,HARD,20.0,,,0 days 00:00:37.732000,0 days 00:00:47.316000,0 days 00:00:38.789000,161.0,185.0,207.0,175.0
LEC,50.0,0 days 00:02:09.554000,3.0,HARD,21.0,,,0 days 00:00:38.112000,0 days 00:00:48.115000,0 days 00:00:43.327000,112.0,169.0,220.0,124.0
LEC,51.0,0 days 00:02:02.586000,3.0,HARD,22.0,,,0 days 00:00:39.328000,0 days 00:00:43.906000,0 days 00:00:39.352000,120.0,212.0,237.0,232.0
LEC,52.0,0 days 00:01:59.678000,3.0,HARD,23.0,,,0 days 00:00:37.942000,0 days 00:00:43.480000,0 days 00:00:38.256000,135.0,160.0,233.0,217.0
LEC,53.0,0 days 00:02:08.263000,3.0,HARD,24.0,,,0 days 00:00:37.117000,0 days 00:00:42.474000,0 days 00:00:48.672000,128.0,199.0,282.0,85.0
LEC,54.0,0 days 00:01:20.588000,3.0,HARD,25.0,,,0 days 00:00:25.967000,0 days 00:00:28.131000,0 days 00:00:26.490000,220.0,259.0,280.0,291.0
LEC,55.0,0 days 00:01:19.416000,3.0,HARD,26.0,,,0 days 00:00:25.185000,0 days 00:00:27.750000,0 days 00:00:26.481000,223.0,260.0,279.0,292.0
LEC,56.0,0 days 00:01:19.048000,3.0,HARD,27.0,,,0 days 00:00:25.013000,0 days 00:00:27.623000,0 days 00:00:26.412000,221.0,259.0,278.0,292.0
LEC,57.0,0 days 00:01:19.140000,3.0,HARD,28.0,,,0 days 00:00:24.862000,0 days 00:00:27.812000,0 days 00:00:26.466000,222.0,259.0,280.0,291.0
LEC,58.0,0 days 00:01:20.320000,3.0,HARD,29.0,,,0 days 00:00:25.439000,0 days 00:00:28.141000,0 days 00:00:26.740000,221.0,257.0,280.0,291.0
LEC,59.0,0 days 00:01:20.139000,3.0,HARD,30.0,,,0 days 00:00:25.538000,0 days 00:00:27.869000,0 days 00:00:26.732000,216.0,257.0,281.0,287.0
LEC,60.0,0 days 00:01:20.680000,3.0,HARD,31.0,,,0 days 00:00:25.899000,0 days 00:00:28.039000,0 days 00:00:26.742000,218.0,253.0,279.0,288.0
LEC,61.0,0 days 00:01:20.613000,3.0,HARD,32.0,,,0 days 00:00:25.710000,0 days 00:00:28.069000,0 days 00:00:26.834000,219.0,255.0,280.0,289.0
